ace ##r wants $ 170 to just look at it then add the repair cost on top of that .####0,2 -1,-1	SUPPORT#PRICE#1
i needed a small chrome ##book for light web use while traveling and this tablet does ok but considering the price i would have expected a better processor and keyboard lighting .####29,30 -1,-1	KEYBOARD#PRICE#0
my main complaint is the battery life , i see many positive reviews about the battery life .####15,17 2,3	BATTERY#GENERAL#0
i just find the battery draining to quickly in my opinion .####4,5 -1,-1	BATTERY#OPERATION_PERFORMANCE#0
i tried messing around in the dev mode to adjust the microphone sensitivity but nothing seems to work .####11,12 -1,-1	MULTIMEDIA_DEVICES#GENERAL#0
plug - in or usb microphone ##s seem to work fine , so it ' s not a terribly big issue and i don ' t really even use a microphone that often , but it ' s annoying to buy a product and not have it working .####42,43 38,39	LAPTOP#GENERAL#0
the broken mic was not a deal ##breaker but annoying in a brand new device .####2,3 9,10	MULTIMEDIA_DEVICES#GENERAL#0
in addition , in my short time using the device , i realized how much i dislike having fingerprints on my computer screen .####18,19 16,17	Out_Of_Scope#GENERAL#0
good looking laptop but hardware has several major problems .####2,3 0,2	LAPTOP#DESIGN_FEATURES#2
good looking laptop but hardware has several major problems .####4,5 -1,-1	HARDWARE#GENERAL#0
microphone is not really working ( you have to basically yell while als ##most touching it with you lips in order for someone else to hear you ) .####0,1 -1,-1	MULTIMEDIA_DEVICES#OPERATION_PERFORMANCE#0
when switching between tablet and laptop mode quickly the screen will blink and turn off for an extended period of time before turning back on .####9,10 -1,-1	DISPLAY#OPERATION_PERFORMANCE#0
called ace ##r support , they were completely useless .####1,4 8,9	SUPPORT#GENERAL#0
keeps disco ##nne ##cting from my wi ##fi at work .####6,8 -1,-1	PORTS#OPERATION_PERFORMANCE#0
it was nice when it was working .####-1,-1 2,3	LAPTOP#GENERAL#2
i ' ve called twice to try to connect it to printer , first call they told me i had to get a cloud ready printer after getting said printer it still doesn ' t connect .####-1,-1 -1,-1	LAPTOP#CONNECTIVITY#0
very disappointed in this machine .####4,5 1,2	LAPTOP#GENERAL#0
i typically love ace ##rs ( i have a regular laptop ) but this machine has been a nightmare .####14,15 18,19	LAPTOP#GENERAL#0
issue summary : frequent crashing####-1,-1 4,5	LAPTOP#OPERATION_PERFORMANCE#0
6 - inch hd touch , intel ce ##ler ##on n ##31 ##50 , 4 ##gb dd ##r ##3 ##l , 32 ##gb , chrome , cb ##5 - 132 ##t - c1 ##lk####3,5 -1,-1	HARDWARE#GENERAL#1
6 - inch hd touch , intel ce ##ler ##on n ##31 ##50 , 4 ##gb dd ##r ##3 ##l , 32 ##gb , chrome , cb ##5 - 132 ##t - c1 ##lk####6,13 -1,-1	CPU#GENERAL#1
6 - inch hd touch , intel ce ##ler ##on n ##31 ##50 , 4 ##gb dd ##r ##3 ##l , 32 ##gb , chrome , cb ##5 - 132 ##t - c1 ##lk####24,25 -1,-1	OS#GENERAL#1
6 - inch hd touch , intel ce ##ler ##on n ##31 ##50 , 4 ##gb dd ##r ##3 ##l , 32 ##gb , chrome , cb ##5 - 132 ##t - c1 ##lk####26,34 -1,-1	LAPTOP#GENERAL#1
6 - inch hd touch , intel ce ##ler ##on n ##31 ##50 , 4 ##gb dd ##r ##3 ##l , 32 ##gb , chrome , cb ##5 - 132 ##t - c1 ##lk####14,16 -1,-1	MEMORY#GENERAL#1
it frequently crashes by displaying a bizarre screen displaying a large number of short horizontal lines and making a loud alarm noise .####7,8 2,3	DISPLAY#OPERATION_PERFORMANCE#0
it frequently crashes by displaying a bizarre screen displaying a large number of short horizontal lines and making a loud alarm noise .####7,8 6,7	DISPLAY#OPERATION_PERFORMANCE#0
this issue happens more frequently when using netflix ( app or through chrome browser ) .####2,3 -1,-1	SOFTWARE#GENERAL#0
this issue happens more frequently when using netflix ( app or through chrome browser ) .####12,14 -1,-1	SOFTWARE#GENERAL#0
however it can happen at random , for example when signing into gma ##il .####-1,-1 -1,-1	LAPTOP#GENERAL#0
it ' s okay for email , facebook , surfing the net , etc .####5,6 3,4	SOFTWARE#GENERAL#1
it ' s okay for email , facebook , surfing the net , etc .####7,8 3,4	SOFTWARE#GENERAL#1
so , this one isn ' t working out very well for my needs .####-1,-1 5,11	LAPTOP#GENERAL#0
i hope it is fixed this time .####-1,-1 -1,-1	LAPTOP#GENERAL#0
the other is excellent !####-1,-1 3,4	LAPTOP#GENERAL#2
has lots of issues , screen freezing , i was hoping to use it for banking etc .####5,6 -1,-1	DISPLAY#QUALITY#0
has lots of issues , screen freezing , i was hoping to use it for banking etc .####-1,-1 -1,-1	LAPTOP#GENERAL#1
it feels like a tablet / computer for a child since it ' s so bulky and heavy .####4,5 15,16	LAPTOP#GENERAL#0
it feels like a tablet / computer for a child since it ' s so bulky and heavy .####4,5 17,18	LAPTOP#GENERAL#0
it feels like a tablet / computer for a child since it ' s so bulky and heavy .####6,7 15,16	LAPTOP#GENERAL#0
it feels like a tablet / computer for a child since it ' s so bulky and heavy .####6,7 17,18	LAPTOP#GENERAL#0
the mouse ##pad was not very responsive .####1,3 4,7	HARDWARE#QUALITY#0
i really think it ' s junk .####-1,-1 6,7	LAPTOP#GENERAL#0
runs good , poor battery life .####-1,-1 1,2	LAPTOP#OPERATION_PERFORMANCE#2
runs good , poor battery life .####4,6 3,4	BATTERY#QUALITY#0
this one is horrible , never can connect .####-1,-1 3,4	LAPTOP#OPERATION_PERFORMANCE#0
after years of using amazon for hundreds of orders , this is my very first negative review :####4,5 15,16	COMPANY#GENERAL#0
i was very excited at the prospect of buying this laptop .####10,11 3,4	LAPTOP#GENERAL#2
i was very impressed with its sleek design and the speed of the processor itself .####7,8 3,4	LAPTOP#DESIGN_FEATURES#2
i was very impressed with its sleek design and the speed of the processor itself .####13,14 3,4	CPU#OPERATION_PERFORMANCE#2
a few hours of use later , i noticed that my battery was very low , around 10 % .####11,12 14,15	BATTERY#OPERATION_PERFORMANCE#0
i even tried reins ##tal ##ling the drivers and doing a system restore , nothing would fix it .####-1,-1 -1,-1	LAPTOP#GENERAL#0
i contacted as ##us and they could do nothing .####2,4 -1,-1	COMPANY#GENERAL#0
i was so glad that the problem would finally be fixed .####-1,-1 3,4	POWER_SUPPLY#GENERAL#2
to my great dismay and disappointment , the power icon read the exact same message : ` ` plug ##ged in , not charging ` ` .####8,10 3,4	SOFTWARE#OPERATION_PERFORMANCE#0
to my great dismay and disappointment , the power icon read the exact same message : ` ` plug ##ged in , not charging ` ` .####8,10 5,6	SOFTWARE#OPERATION_PERFORMANCE#0
this was the second vivo ##book in a row !####4,6 -1,-1	LAPTOP#QUALITY#0
am i just un ##lu ##cky , or was this a bad batch ?####-1,-1 3,6	LAPTOP#QUALITY#0
am i just un ##lu ##cky , or was this a bad batch ?####-1,-1 11,12	LAPTOP#QUALITY#0
i ' ve only found 2 other recent reviews of this product that had the same problem ( go ahead and search for them in the reviews ) .####11,12 -1,-1	LAPTOP#QUALITY#0
volume was not working .####0,1 -1,-1	MULTIMEDIA_DEVICES#OPERATION_PERFORMANCE#0
they would help me only if i bought an ongoing support contract with them .####10,12 -1,-1	SUPPORT#GENERAL#0
horrible way to run a company so i returned the item .####10,11 -1,-1	LAPTOP#GENERAL#0
horrible way to run a company so i returned the item .####5,6 0,1	COMPANY#GENERAL#0
i purchased this laptop on the 11th of june 2018 and today is the 25th , which means i have had it for just about 2 weeks .####3,4 -1,-1	LAPTOP#GENERAL#1
i noticed yesterday that the laptop was not charging anymore for reasons i can not de ##du ##ce .####5,6 -1,-1	LAPTOP#QUALITY#0
it appears the adapt ##er may still be good as there are a few sparks when plug ##ging into power but the charging light on the laptop does not come on and the battery is not charging .####22,24 -1,-1	HARDWARE#OPERATION_PERFORMANCE#0 HARDWARE#QUALITY#0
it appears the adapt ##er may still be good as there are a few sparks when plug ##ging into power but the charging light on the laptop does not come on and the battery is not charging .####33,34 -1,-1	BATTERY#OPERATION_PERFORMANCE#0 BATTERY#QUALITY#0
it appears the adapt ##er may still be good as there are a few sparks when plug ##ging into power but the charging light on the laptop does not come on and the battery is not charging .####3,5 8,9	POWER_SUPPLY#OPERATION_PERFORMANCE#2
i will attempt to return it as i am out of the us right now .####-1,-1 -1,-1	LAPTOP#GENERAL#0
it is quite disappointing .####-1,-1 3,4	LAPTOP#GENERAL#0
i am really concerned that this was not strongly made and just pretty .####-1,-1 11,13	LAPTOP#GENERAL#0
now a few weeks later monitor has died again .####5,6 7,8	DISPLAY#GENERAL#0
not worth it .####-1,-1 0,2	LAPTOP#GENERAL#0
i will return it .####-1,-1 -1,-1	LAPTOP#GENERAL#0
i thought it was a bad hd ##mi connection .####6,9 5,6	PORTS#CONNECTIVITY#0
this laptop is beautiful , and that ' s about it .####1,2 3,4	LAPTOP#GENERAL#2
it was fully charged and i only turned it on a total of 3 times before the screen went blank .####-1,-1 -1,-1	LAPTOP#OPERATION_PERFORMANCE#0
it was fully charged and i only turned it on a total of 3 times before the screen went blank .####16,18 -1,-1	DISPLAY#OPERATION_PERFORMANCE#1
at all and it took several minutes to boot up .####8,10 -1,-1	OS#OPERATION_PERFORMANCE#0
turned it off and on and the screen still stays black but you can hear it running .####7,8 -1,-1	DISPLAY#OPERATION_PERFORMANCE#0
con ##s - no light to indicate caps lock .####7,9 0,2	KEYBOARD#DESIGN_FEATURES#0
del ##ete and power button too close to each other and looks the same , i accidentally pressed the power button couple of times .####0,5 -1,-1	KEYBOARD#DESIGN_FEATURES#0
del ##ete and power button too close to each other and looks the same , i accidentally pressed the power button couple of times .####19,21 -1,-1	KEYBOARD#USABILITY#0
the built - in speaker is below average .####1,5 6,8	MULTIMEDIA_DEVICES#GENERAL#0
pro ##s - slim , lightweight laptop due to 8th gen core - i ##5 .####6,7 0,2	LAPTOP#DESIGN_FEATURES#2
pro ##s - slim , lightweight laptop due to 8th gen core - i ##5 .####6,7 3,4	LAPTOP#DESIGN_FEATURES#2
pro ##s - slim , lightweight laptop due to 8th gen core - i ##5 .####6,7 5,6	LAPTOP#DESIGN_FEATURES#2
pro ##s - slim , lightweight laptop due to 8th gen core - i ##5 .####9,15 -1,-1	CPU#GENERAL#2
on day one , i had been using it for maybe 2 hours and it randomly shut off .####-1,-1 -1,-1	LAPTOP#OPERATION_PERFORMANCE#0
then the next day , same thing , screen goes black and it dies .####8,9 -1,-1	DISPLAY#OPERATION_PERFORMANCE#0
then the next day , same thing , screen goes black and it dies .####-1,-1 13,14	LAPTOP#OPERATION_PERFORMANCE#0
im returning it .####-1,-1 -1,-1	LAPTOP#GENERAL#0
i will constantly be thinking about how it will probably fall apart in a few moths .####-1,-1 -1,-1	LAPTOP#QUALITY#0
aside from that , laptop seems fine .####4,5 6,7	LAPTOP#GENERAL#2
feel like at max brightness it just isn ' t enough .####-1,-1 -1,-1	DISPLAY#OPERATION_PERFORMANCE#0
no back ##lit keyboard is kinda a bum ##mer but i dig ##ress .####1,4 7,9	KEYBOARD#DESIGN_FEATURES#0
the issue is that i got a faulty laptop and that ' s why the negative review .####8,9 7,8	LAPTOP#QUALITY#0
the issue is that i got a faulty laptop and that ' s why the negative review .####8,9 15,16	LAPTOP#QUALITY#0
i went with the as ##us vivo ##book based on the good spec ##s , better hd ##d and ram , reviews , and because i could pay for it over several months .####4,8 -1,-1	LAPTOP#PRICE#2
i went with the as ##us vivo ##book based on the good spec ##s , better hd ##d and ram , reviews , and because i could pay for it over several months .####16,18 15,16	HARDWARE#GENERAL#2
i went with the as ##us vivo ##book based on the good spec ##s , better hd ##d and ram , reviews , and because i could pay for it over several months .####19,20 15,16	MEMORY#GENERAL#2
i went with the as ##us vivo ##book based on the good spec ##s , better hd ##d and ram , reviews , and because i could pay for it over several months .####12,14 11,12	LAPTOP#DESIGN_FEATURES#2
their only solution was for me to go through the whole rm ##a process and mail the laptop back for repair which would take weeks .####-1,-1 -1,-1	SUPPORT#GENERAL#0
i ' m amazed how bad this machine is for the money , and for being described as a ` ` mid - level gamer . ` `####7,8 5,6	LAPTOP#PRICE#0 LAPTOP#GENERAL#0
it stu ##tters on a 10 year old game .####-1,-1 -1,-1	LAPTOP#OPERATION_PERFORMANCE#0
the form factor is nice , but the power key is in the upper right , easy to hit when using backs ##pac nor page up .####1,3 4,5	LAPTOP#DESIGN_FEATURES#2
the form factor is nice , but the power key is in the upper right , easy to hit when using backs ##pac nor page up .####8,10 -1,-1	KEYBOARD#DESIGN_FEATURES#0
thanks amazon for your great return policy !####1,2 4,5	COMPANY#GENERAL#2
thanks amazon for your great return policy !####5,7 4,5	SUPPORT#GENERAL#2
super thin - love the color - had to completely remove the operating system though - too many viruses already on the computer when received - had to get my own operating system and re - install everything####12,14 -1,-1	OS#GENERAL#0
6 inch laptop it appears fragile the keyboard itself feels like the keys will pop out .####0,3 5,6	LAPTOP#QUALITY#0
6 inch laptop it appears fragile the keyboard itself feels like the keys will pop out .####7,8 -1,-1	KEYBOARD#QUALITY#0
6 inch laptop it appears fragile the keyboard itself feels like the keys will pop out .####12,13 -1,-1	KEYBOARD#QUALITY#0
sad that i can ' t return this one .####-1,-1 0,1	WARRANTY#GENERAL#0
plus the screen is bland .####2,3 4,5	DISPLAY#OPERATION_PERFORMANCE#0
with this as ##us i ' m experiencing 2 very disappointing issues .####2,4 10,11	LAPTOP#GENERAL#0
graphic issues : after opening any page or window with a black or dark color and i go back to a more bright or white page it takes at least 5 good second to gain the full lu ##min ##osity####0,1 -1,-1	GRAPHICS#OPERATION_PERFORMANCE#0
suddenly the keyboard goes crazy , starting on his own typing non stop ` ` mmm ##mm ##mm ##mm ` ` .####2,3 4,5	KEYBOARD#OPERATION_PERFORMANCE#0
this is very disappointing an causing me big issues while i write .####-1,-1 3,4	KEYBOARD#OPERATION_PERFORMANCE#0
it looks great as design , fast , but this 2 issues make it the worst buy of the past 10 years for me .####-1,-1 2,3	LAPTOP#DESIGN_FEATURES#2
it looks great as design , fast , but this 2 issues make it the worst buy of the past 10 years for me .####-1,-1 6,7	LAPTOP#OPERATION_PERFORMANCE#2
it looks great as design , fast , but this 2 issues make it the worst buy of the past 10 years for me .####-1,-1 15,16	LAPTOP#GENERAL#0
the keys are easy to type on and the laptop itself is thin yet feels solid and well constructed .####1,2 3,4	KEYBOARD#USABILITY#2
the keys are easy to type on and the laptop itself is thin yet feels solid and well constructed .####9,10 15,16	LAPTOP#DESIGN_FEATURES#2
the keys are easy to type on and the laptop itself is thin yet feels solid and well constructed .####9,10 17,19	LAPTOP#DESIGN_FEATURES#2
this is a well constructed and powerful laptop that is perfect for everyday use as well as some otherwise intensive task such as large spreads ##hee ##ts or presentations .####7,8 3,5	LAPTOP#GENERAL#2
this is a well constructed and powerful laptop that is perfect for everyday use as well as some otherwise intensive task such as large spreads ##hee ##ts or presentations .####7,8 10,11	LAPTOP#GENERAL#2
this is a well constructed and powerful laptop that is perfect for everyday use as well as some otherwise intensive task such as large spreads ##hee ##ts or presentations .####7,8 6,7	LAPTOP#GENERAL#2
i double checked the outside labels and upon opening the box saw that the laptop had several deep scratches on the bottom of it .####14,15 -1,-1	LAPTOP#QUALITY#1
i contacted amazon and have been issued a ref ##und and ordered a replacement .####2,3 -1,-1	COMPANY#GENERAL#1
the m key popped off during initial setup .####1,3 -1,-1	KEYBOARD#QUALITY#0
amazon is 2 - day shipping me a replacement .####0,1 -1,-1	COMPANY#GENERAL#1
i love it at first , but today my laptop wasn ' t not charging any more .####9,10 1,2	LAPTOP#GENERAL#2
i love it at first , but today my laptop wasn ' t not charging any more .####9,10 -1,-1	LAPTOP#OPERATION_PERFORMANCE#0
i noticed today the laptop was not charging anymore .####4,5 -1,-1	LAPTOP#OPERATION_PERFORMANCE#0
it is very very disappointing .####-1,-1 4,5	LAPTOP#GENERAL#0
edit : reins ##tal ##led the driver now the audio is better on ear ##phones .####9,10 11,12	MULTIMEDIA_DEVICES#GENERAL#2
camera is sd but not a problem .####0,1 -1,-1	HARDWARE#GENERAL#1
screen is good .####0,1 2,3	DISPLAY#GENERAL#2 DISPLAY#GENERAL#2
finger ##print scanner works well .####0,3 4,5	MULTIMEDIA_DEVICES#GENERAL#2
back lit keyboard should be a standard by now !####0,3 -1,-1	KEYBOARD#GENERAL#1
battery is all day amazing####0,1 4,5	BATTERY#GENERAL#2
with ss ##d lightning fast start up####1,3 4,5	MEMORY#OPERATION_PERFORMANCE#2
no back light keyboard####3,4 -1,-1	KEYBOARD#DESIGN_FEATURES#0
performance is med ##io ##cre####-1,-1 2,5	LAPTOP#OPERATION_PERFORMANCE#0
consideration : if you are of average frame and strength then this build will be perfect and the keyboard flex and body is the perfect fit between lightweight and rigid ##ity .####12,13 24,25	LAPTOP#DESIGN_FEATURES#2
consideration : if you are of average frame and strength then this build will be perfect and the keyboard flex and body is the perfect fit between lightweight and rigid ##ity .####21,22 15,16	LAPTOP#DESIGN_FEATURES#2
consideration : if you are of average frame and strength then this build will be perfect and the keyboard flex and body is the perfect fit between lightweight and rigid ##ity .####21,22 27,28	LAPTOP#DESIGN_FEATURES#2
consideration : if you are of average frame and strength then this build will be perfect and the keyboard flex and body is the perfect fit between lightweight and rigid ##ity .####21,22 29,32	LAPTOP#DESIGN_FEATURES#2
consideration : if you are of average frame and strength then this build will be perfect and the keyboard flex and body is the perfect fit between lightweight and rigid ##ity .####18,19 19,20	KEYBOARD#DESIGN_FEATURES#2
my friends , both female and male , are going to by this set up for their travel needs but for me it is lacking .####13,15 24,25	LAPTOP#USABILITY#0
this adds to my need for a strong system and willing to sacrifice some weight for strength .####8,9 7,8	OS#OPERATION_PERFORMANCE#2
best for : if you are looking for a travel laptop and are planning on doing light work this is an amazing buy for the price .####10,11 21,22	LAPTOP#PORTABILITY#2 LAPTOP#PRICE#2
not only is it light the battery charge ##r is tiny and with the thin be ##zel ##s this is a super compact design .####-1,-1 4,5	LAPTOP#PORTABILITY#2
not only is it light the battery charge ##r is tiny and with the thin be ##zel ##s this is a super compact design .####6,9 10,11	POWER_SUPPLY#DESIGN_FEATURES#2
not only is it light the battery charge ##r is tiny and with the thin be ##zel ##s this is a super compact design .####15,18 14,15	LAPTOP#DESIGN_FEATURES#2
not only is it light the battery charge ##r is tiny and with the thin be ##zel ##s this is a super compact design .####23,24 22,23	LAPTOP#DESIGN_FEATURES#2
even with the fan and heat if you use a cool mat on your lap you will be find especially with the screen being amazing for the price .####3,4 -1,-1	FANS&COOLING#GENERAL#0
even with the fan and heat if you use a cool mat on your lap you will be find especially with the screen being amazing for the price .####22,23 24,25	DISPLAY#PRICE#2
for the price it is an amazing starting point and hard to beat especially with such an amazing brand such as as ##us .####-1,-1 17,18	LAPTOP#PRICE#2
for the price it is an amazing starting point and hard to beat especially with such an amazing brand such as as ##us .####21,23 -1,-1	COMPANY#GENERAL#2
oh and this is a beautiful machine and the lid is amazing .####6,7 5,6	LAPTOP#DESIGN_FEATURES#2
oh and this is a beautiful machine and the lid is amazing .####9,10 11,12	LAPTOP#DESIGN_FEATURES#2
i like the laptop for it ' s hardware , and it ' s working properly .####8,9 1,2	HARDWARE#GENERAL#2
i like the laptop for it ' s hardware , and it ' s working properly .####3,4 -1,-1	LAPTOP#OPERATION_PERFORMANCE#2
the actual laptop is very much darker and blue .####1,3 -1,-1	LAPTOP#DESIGN_FEATURES#1
i ' m not at all happy about that .####-1,-1 3,7	LAPTOP#DESIGN_FEATURES#0
the new computer failed again with the same error .####2,3 3,4	LAPTOP#QUALITY#0
i am sure amazon will exchange it again but it is not worth the time and has ##sle .####3,4 -1,-1	COMPANY#GENERAL#1
i am sure amazon will exchange it again but it is not worth the time and has ##sle .####-1,-1 11,13	LAPTOP#GENERAL#0
the speakers are also not great and the max volume on watching netflix or other videos is rather quite .####1,2 4,6	MULTIMEDIA_DEVICES#OPERATION_PERFORMANCE#0
its an ok laptop , it makes crack ##ling annoying noises sometimes , im worried that it will become worse with time so i will be returning it , also the speakers are really bad , keyboard is good enough .####3,4 9,10	LAPTOP#OPERATION_PERFORMANCE#0
